error,file,retry_count,rows,status,total_seconds,total_votes
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,33,REVIEW,17.701,578
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,0,10,WARNING,5.531,196
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,1,57,REVIEW,35.678,761
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,0,10,WARNING,4.048,386
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,1,33,REVIEW,18.99,211
,rawData\อำเภอเขื่องใน\ตำบลธาตุน้อย\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,0,10,WARNING,4.108,333
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 1\5 ทับ 18 (บช).pdf,1,57,REVIEW,31.836,502
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 1\5 ทับ 18.pdf,0,10,WARNING,3.867,252
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 2\5 ทับ 18 (บช).pdf,1,57,REVIEW,23.655,3460
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 2\5 ทับ 18.pdf,1,10,REVIEW,9.434,388
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,1,57,REVIEW,37.14,66
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,1,10,REVIEW,9.295,63
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,57,REVIEW,23.276,258
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,0,10,WARNING,4.959,130
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,0,57,WARNING,15.457,146
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,0,10,WARNING,3.946,152
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,1,33,REVIEW,18.513,193
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,1,10,REVIEW,9.065,339
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,33,REVIEW,18.574,13027
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,1,10,REVIEW,9.172,600
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,1,57,REVIEW,35.372,177
,rawData\อำเภอเขื่องใน\ตำบลนาคำใหญ่\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,0,10,WARNING,4.41,277
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,1,34,REVIEW,22.72,281
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,1,10,REVIEW,8.351,528
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,57,REVIEW,34.829,2994
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,0,10,WARNING,3.945,516
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,0,57,PASS,16.111,161
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,0,10,PASS,4.38,168
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,33,REVIEW,16.83,1029
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,0,10,PASS,4.399,389
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,1,57,REVIEW,31.257,325
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,1,10,REVIEW,7.837,299
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,1,57,WARNING,29.045,267
,rawData\อำเภอเขื่องใน\ตำบลบ้านกอก\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,0,10,WARNING,4.461,267
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,1,33,REVIEW,19.365,223
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,1,10,PASS,7.771,142
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,1,57,REVIEW,31.513,8923
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,1,10,REVIEW,8.315,239
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,1,57,REVIEW,34.713,378
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,0,10,PASS,5.321,191
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 12\5ทับ18(บช).pdf,1,57,REVIEW,25.23,171
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 12\5ทับ18.pdf,0,10,WARNING,5.274,166
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 2\5 ทับ18.pdf,1,10,REVIEW,9.743,623
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,57,REVIEW,33.245,188
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,1,57,REVIEW,26.64,425
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,0,10,PASS,4.161,362
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,33,REVIEW,18.95,470152
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,0,10,PASS,4.005,363
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,1,57,REVIEW,32.941,3268
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,1,10,REVIEW,8.131,157
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,1,33,REVIEW,14.876,350
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,1,10,REVIEW,8.0,415
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,47,REVIEW,28.517,453
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,1,10,REVIEW,9.182,259
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,1,57,REVIEW,32.059,367
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,1,10,REVIEW,8.131,318
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,1,33,REVIEW,19.036,675
,rawData\อำเภอเขื่องใน\ตำบลบ้านไทย\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,0,10,PASS,5.207,454
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,1,57,REVIEW,36.114,7372
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,1,10,REVIEW,8.625,231
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,1,57,REVIEW,33.022,380
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,1,10,REVIEW,9.016,192
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,57,REVIEW,34.434,140033
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,1,10,REVIEW,12.399,164
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,1,57,REVIEW,30.957,482
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,0,10,PASS,3.842,415
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,33,REVIEW,19.323,267
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,1,10,REVIEW,7.327,123
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,1,57,REVIEW,33.183,176
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,0,0,PASS,0.745,0
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,1,33,REVIEW,20.45,528
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,1,10,REVIEW,9.74,696
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,57,REVIEW,30.89,595
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,1,10,REVIEW,8.901,253
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,1,57,REVIEW,32.244,465
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,1,10,REVIEW,8.54,296
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 9\5ทับ18 (บช).pdf,1,33,REVIEW,20.262,95
,rawData\อำเภอเขื่องใน\ตำบลยางขี้นก\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,1,10,REVIEW,8.411,177
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,1,57,REVIEW,32.718,294
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,1,10,REVIEW,8.733,276
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,57,REVIEW,31.341,290
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,0,10,WARNING,4.616,314
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,1,33,REVIEW,15.761,514
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,0,10,PASS,3.953,352
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,10,REVIEW,5.512,111
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,0,10,PASS,4.929,383
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,1,57,REVIEW,28.344,428
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,0,10,PASS,4.171,230
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,1,57,REVIEW,32.35,3445
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,1,10,REVIEW,9.855,349
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,57,REVIEW,31.644,122
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,1,10,REVIEW,9.254,532
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 8\5 ทับ18.pdf,0,10,WARNING,5.301,392
,rawData\อำเภอเขื่องใน\ตำบลศรีสุข\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,1,33,REVIEW,17.167,260
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,1,57,REVIEW,35.285,673
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,1,10,REVIEW,8.569,284
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,1,31,REVIEW,16.717,27
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,0,10,PASS,3.725,161
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,1,53,REVIEW,32.487,268
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,0,10,PASS,4.126,261
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 12\5ทับ18(บช).pdf,1,57,REVIEW,31.755,408
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 12\5ทับ18.pdf,1,10,REVIEW,10.097,732
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 13\5ทับ18(บช).pdf,1,57,REVIEW,33.726,754
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 13\5ทับ18.pdf,0,10,PASS,4.901,365
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 14\5ทับ18(บช).pdf,1,34,REVIEW,20.091,173
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 14\5ทับ18.pdf,1,10,REVIEW,7.696,364
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 15\5ทับ18(บช).pdf,1,57,REVIEW,26.383,542
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 15\5ทับ18.pdf,0,10,WARNING,3.874,291
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 16\5ทับ18(บช).pdf,1,57,REVIEW,31.791,497
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 16\5ทับ18.pdf,1,10,REVIEW,9.313,249
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 17\5ทับ18(บช).pdf,1,57,REVIEW,30.412,546
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 17\5ทับ18.pdf,0,10,WARNING,4.161,278
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,52,REVIEW,39.242,337940
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,1,10,REVIEW,10.317,420
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,0,57,WARNING,14.972,365
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,0,10,PASS,4.47,388
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,10,REVIEW,7.357,37
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,0,10,WARNING,4.264,230
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,0,52,WARNING,15.12,241
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,0,10,PASS,6.706,250
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,1,33,REVIEW,15.351,547
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,1,10,REVIEW,8.146,690
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,50,REVIEW,28.931,543
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,1,10,REVIEW,10.034,243
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,1,10,REVIEW,8.057,18
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 8\5ทับ18..pdf,1,10,REVIEW,8.862,243
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,1,57,REVIEW,33.439,445
,rawData\อำเภอเขื่องใน\ตำบลสร้างถ่อ\หน่วยเลือกตั้งที่ 9\5ทับ18.pdf,0,10,PASS,4.113,227
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,1,57,REVIEW,29.991,261
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,1,10,REVIEW,9.18,385
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,1,57,REVIEW,33.81,266
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,1,10,REVIEW,7.488,222
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,1,33,REVIEW,18.186,437
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,0,10,PASS,3.793,277
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,1,57,REVIEW,32.979,633
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,0,10,PASS,17.604,320
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,1,57,REVIEW,30.716,497
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,0,0,PASS,5.66,0
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,1,33,REVIEW,19.475,241
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,1,10,REVIEW,7.205,67
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,57,REVIEW,38.158,86
,rawData\อำเภอเขื่องใน\ตำบลสหธาตุ\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,1,10,REVIEW,17.106,252
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 1\5ทับ18(บช).pdf,0,57,WARNING,19.523,319
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 1\5ทับ18.pdf,1,10,REVIEW,9.459,1840
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,0,57,WARNING,13.841,272
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,1,10,REVIEW,9.698,776
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,1,33,REVIEW,19.756,21518
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,1,10,REVIEW,11.057,606
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 2\5ทับ18(บช).pdf,0,57,WARNING,14.212,390
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 2\5ทับ18.pdf,0,10,WARNING,4.46,406
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 3\5ทับ18(บช).pdf,1,57,REVIEW,31.427,316
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 3\5ทับ18.pdf,1,10,REVIEW,9.465,374
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 4\5ทับ18(บช).pdf,0,57,PASS,17.911,280
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 4\5ทับ18.pdf,0,10,WARNING,4.166,286
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 5\5ทับ18(บช).pdf,1,57,REVIEW,36.757,22616739
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 5\5ทับ18.pdf,1,10,REVIEW,9.136,231
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 6\5ทับ18(บช).pdf,1,57,REVIEW,33.463,168
"Expecting ',' delimiter: line 41 column 6 (char 830)",rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 6\5ทับ18.pdf,,0,FAIL,23.852,
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 7\5ทับ18(บช).pdf,1,57,REVIEW,58.557,1902
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 7\5ทับ18.pdf,1,10,REVIEW,14.258,891
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 8\5ทับ18(บช).pdf,1,33,REVIEW,21.796,27716
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 8\5ทับ18.pdf,1,10,REVIEW,8.717,419
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 9\5ทับ18(บช).pdf,1,33,REVIEW,18.748,470
,rawData\อำเภอเขื่องใน\ตำบลหนองเหล่า\หน่วยเลือกตั้งที่ 9\5ทับ8.pdf,1,10,REVIEW,8.226,374
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 1\5 ทับ 18 (บช).pdf,0,47,WARNING,12.038,189
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 1\5 ทับ 18.pdf,0,10,PASS,3.89,239
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 10\5ทับ18(บช).pdf,1,57,WARNING,30.772,378
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 10\5ทับ18.pdf,0,10,PASS,3.684,368
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 11\5ทับ18(บช).pdf,0,57,WARNING,17.711,324
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 11\5ทับ18.pdf,1,10,REVIEW,8.747,334
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 2\5 ทับ 18 (บช).pdf,0,57,WARNING,15.558,198
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 2\5 ทับ 18.pdf,1,10,REVIEW,17.302,211
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 3\5 ทับ 18 (บช).pdf,1,50,REVIEW,29.684,2131
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 3\5 ทับ 18.pdf,0,10,PASS,5.205,275
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 4\5 ทับ 18 (บช).pdf,1,57,REVIEW,37.215,468
,rawData\อำเภอเขื่องใน\ตำบลหัวดอน\หน่วยเลือกตั้งที่ 4\5 ทับ 18.pdf,1,10,REVIEW,7.995,440
